card_year,name,card_type,hp,poke_type,card_number,room_number,title,height,prof_year,ability_name,ability_description,attack_name,attack_type,attack_damage,attack_description,weakness,resistance,retreat_cost,extra_rule,flavor_text,image_path
2023,Dean Yoder EX,Basic EX,190,Metal,1,107A,Dean PolarProf,"6'2""",2001,Yoder's Lullaby,"They drone on and on... Flip a coin, if heads the defending PolarProf is now asleep.",Yoder's Tesla,"Fire, Lightning, Colorless",30,"With a cross of their arms and a wave of their keys, this PolarProf summons their Tesla to incinerate the opposing PolarProf's eyeballs with its headlights. The opposing PolarProf is now Burned.",Fire x2,Psychic -20,2,"When your Pokémon EX is knocked out, your opponent takes 2 Prize cards.",,card_images/22-23/Yoder.png
2023,Dean Zechman,Trainer,,,x,,Dean PolarProf,,,,"Draw 2 cards. During this turn, your PolarProf's attacks do 20 More damage to your opponents Active PolarProf. (before applying Weakness and Resistance)",,,,,,,,,You may play only 1 Supporter card during your turn.,card_images/22-23/Zechman Trainer.png
2023,Dean Zechman EX,Basic EX,180,Metal,2,107D,Dean PolarProf,"6'4""",2001,Lay of the Land,"When you play this PolarProf from your hand he takes your PolarProfs on a tour of the region, finding Energy on the way. Search your deck for 2 Energy, place them in your hand and then shuffle the deck.",Ping Pong Pelter,"Lightning, Fighting, Colorless, Colorless",50,"This PolarProf readies his ping pong paddle. Flip a coin for each of your opponent's Benched PolarProfs. On heads, this PolarProf annihilates them with a ping pong ball doing 30 damage.",Fire x2,,2,"When your Pokémon EX is knocked out, your opponent takes 2 Prize cards.",,card_images/22-23/Zechman.png
2023,Dr. Al-Olimat,Basic,150,Lightning,3,250,Electrical PolarProf,"5'8""",1999,Persuasive Resistance,This PolarProf can persuade the opponent and decrease their attack's damage to this PolarProf by 10 points.,AC Circuit,"Lightning, Lightning, Colorless",20,"Using the power of AC circuits, this PolarProf shocks and dazes the opponent. Flip a coin. If head's, the opponent's PolarProf is paralyzed. If tails, due to a resistance of 10kΩ, reduce the damage of the next attack to this PolarProf by 10.",Fighting x2,Metal -20,1,,"It's not you or me, it's we, you and me!",card_images/22-23/Al-Olimat.png
2023,Dr. Ammar,Basic,80,Lightning,4,256,Electrical PolarProf,"5'7""",2019,Nodal Analysis,"When you play this PolarProf to the Bench, search your deck for a Colorless or Lightning PolarProf and add them to your hand.",Bluetooth Hand Slap,"Lightning, Psychic",40,This PolarProf uses a newly discovered method to slap their opponent wirelessly.,Fighting x2,Metal -20,1,,"When not teaching students, this PolarProf can be seen organizing and playing soccer games across the regions.",card_images/22-23/Ammar.png
2023,Dr. Ardakani,Basic,90,Fighting,5,282,Concrete PolarProf,6x10^23,2017,Concrete Infusion,"When this PolarProf is in play, your PolarProf are synthetically laced with concrete to make them immune to the status effects of Burned and Paralyzed.",Sulfate Attack,"Colorless, Colorless",20,"Heave a ton of sulfate ions at the opposing PolarProf. Flip a coin. If heads, the opposing PolarProf is now Poisoned.",Grass x2,Lightning -20,5,,It's kindergarten!,card_images/22-23/Ardakani.png
2023,Dr. Cheng,Basic,70,Colorless,6,246,Mechanical PolarProf,"5'4""",2022,Mechanical Mimic,"When you play this PolarProf to the Bench from your hand, you may attach an Energy in your hand to any of your PolarProfs that matches with an Energy attached to an opponent's PolarProf.",Robotic Repair,"Colorless, Fairy",30,This PolarProf uses their expertise in robotics to repair and restore by healing 30 damage from one of your PolarProfs.,Fighting x2,,1,,"Despite their impressive technical abilities, this PolarProf is notorious for their extreme fear of birds. This fear is so intense that they often freeze up or run away when confronted by even the smallest avian creatures.",card_images/22-23/Cheng.png
2023,Dr. Clark,Basic,70,Colorless,7,246,Mechanical PolarProf,"5'4""",2022,Lego Master,"On your opponent's Active PolarProf attack, you may flip a coin. If heads, this PolarProf builds a Lego wall and can only be damaged by Metal PolarProfs. If tails, place an additional damage counter on this PolarProf.",Crochet Cradle,"Fighting, Colorless",30,"This attack creates a crochet wrap around the opponent. Flip a coin. If heads, 20 damage is done to each PolarProf on the opponent's bench. If tails, the damage to the defending PolarProf is reduced by 20.",Fighting x2,Psychic -20,2,,"This PolarProf likes to cross stitch and game in their free time. When not teaching Thermal Sciences, they love being harassed by ACM members. -- This message has been sponsored by ACM",card_images/22-23/Clark.png
2023,Dr. DibArduino,Basic,100,Colorless,8,228,Polar Robotics Advisor PolarProf,"5'11""",2014,Vibration Dampening,"During your opponent's next turn, if this PolarProf would be damaged by an attack, prevent that attack's damage to this PolarProf if that damage is 60 or less.",Robotic Disconnect,Lightning,20,"This PolarProf tries to score a touchdown with 3 robots. Flip a coin 3 times. If you get 3 heads, all the robots disconnect and barrels into the PolarProfs on your opponent's bench, dealing 40 damage to each.",Fighting x2,Psychic -20,1,,This PolarProf is found in the depths of JLK giving life to mechatronic devices and making students' lives miserable. They are currently on a quest to power the Robotic Football team to victory.,card_images/22-23/DibArduino.png
2023,Dr. Estell,Basic,140,Psychic,9,272,Computer Science PolarProf,"5'9""",2001,Intimidate,"When this PolarProf struts down the battlefield as your Active PolarProf, the opponent's Active PolarProf deals 10 less damage (after applying Weakness and Resistance).",Authentic Cowbell,"Psychic, Colorless",40,"Each rippling sound wave erodes the enemy's will to fight. To cows, the sound is beautiful, and upon hearing it they surge eagerly into the fray.",Psychic x2,,2,,Dr. Estell walked the legen-dairy Camino de Santiago de Cow-postela pilgrimage route with Laurie Sue Holstein. Hearing all the authentic cowbells along the way was an udder-ly moo-ving experience.,card_images/22-23/Estell.png
